Canada,102,0.0276948140103
United Kingdom,162,0.0439858810752
Israel,6,0.00162910670649
Netherlands,75,0.0203638338311
Italy,524,0.142275319033
Chile,3,0.000814553353245
Portugal,4,0.00108607113766
Mexico,2,0.00054303556883
Uruguay,1,0.000271517784415
France,486,0.131957643226
United States,3523,0.956557154494
Sweden,2,0.00054303556883
Germany,40,0.0108607113766
Ireland,30,0.00814553353245
China,8,0.00217214227532
New Zealand,36,0.00977464023894
Venezuela,6,0.00162910670649
Spain,661,0.179473255498
